Country,Capital City,Latitude,Longitude,Population,Capital Type,ISO-3166-1 alpha-3
Guinea,Conakry,9.5716,-13.6476,1843121,Capital,GIN
Guinea-Bissau,Bissau,11.8636,-15.5977,558399,Capital,GNB
Guyana,Georgetown,6.8045,-58.1553,109934,Capital,GUY
Haiti,Port-au-Prince,18.5392,-72.335,2636763,Capital,HTI
Holy See,Vatican City,41.9024,12.4533,801,Capital,VAT
Honduras,Tegucigalpa,14.0818,-87.2068,1363041,Capital,HND
Hungary,Budapest,47.498,19.0399,1759497,Capital,HUN
Iceland,Reykjavík,64.1355,-21.8954,216364,Capital,ISL
India,Delhi,28.6667,77.2167,28513682,Capital,IND
Indonesia,Jakarta,-6.2118,106.8416,10516927,Capital,IDN
Iran (Islamic Republic of),Tehran,35.6944,51.4215,8895947,Capital,IRN
Iraq,Baghdad,33.3406,44.4009,6811955,Capital,IRQ
Ireland,Dublin,53.3331,-6.2489,1201426,Capital,IRL
Isle of Man,Douglas,54.15,-4.4833,27171,Capital,IMN
Israel,Jerusalem,31.769,35.2163,907062,Capital,ISR
Italy,Roma (Rome),41.8947,12.4811,4209710,Capital,ITA
Jamaica,Kingston,17.997,-76.7936,589083,Capital,JAM
Japan,Tokyo,35.6895,139.6917,37468302,Capital,JPN
Jordan,Amman,31.9552,35.945,2064582,Capital,JOR
Kazakhstan,Astana,51.1801,71.446,1068113,Capital,KAZ
Kenya,Nairobi,-1.2833,36.8167,4385853,Capital,KEN
Kiribati,Tarawa,1.3272,172.9813,64011,Capital,KIR
Kuwait,Al Kuwayt (Kuwait City),29.3697,47.9783,2989270,Capital,KWT
Kyrgyzstan,Bishkek,42.87,74.59,996319,Capital,KGZ
Lao People's Democratic Republic,Vientiane,17.9667,102.6,664754,Capital,LAO
Latvia,Riga,56.946,24.1059,637089,Capital,LVA
Lebanon,Bayrut (Beirut),33.9,35.4833,2385271,Capital,LBN
Lesotho,Maseru,-29.3167,27.4833,201851,Capital,LSO
Liberia,Monrovia,6.3005,-10.7969,1418300,Capital,LBR
Libya,Tarabulus (Tripoli),32.8752,13.1875,1157746,Capital,LBY
Liechtenstein,Vaduz,47.1415,9.5215,5470,Capital,LIE
Lithuania,Vilnius,54.6892,25.2798,536055,Capital,LTU
Luxembourg,Luxembourg,49.6117,6.13,119752,Capital,LUX
Madagascar,Antananarivo,-18.9137,47.5361,3058387,Capital,MDG
Malawi,Lilongwe,-13.9669,33.7873,1029639,Capital,MWI
Malaysia,Kuala Lumpur,3.1412,101.6865,7563912,Capital,MYS
Maldives,Male,4.1748,73.5089,176851,Capital,MDV
Mali,Bamako,12.65,-8.0,2446749,Capital,MLI
Malta,Valletta,35.8997,14.5147,212768,Capital,MLT
Marshall Islands,Majuro,7.0897,171.3803,30661,Capital,MHL
Martinique,Fort-de-France,14.6089,-61.0733,79361,Capital,MTQ
Mauritania,Nouakchott,18.0858,-15.9785,1205414,Capital,MRT
Mauritius,Port Louis,-20.1619,57.4989,149365,Capital,MUS
Mayotte,Mamoudzou,-12.7794,45.2272,6180,Capital,MYT
Mexico,Ciudad de México (Mexico City),19.4273,-99.1419,21580827,Capital,MEX
Micronesia (Federated States of),Palikir,6.9174,158.1588,6996,Capital,FSM
Monaco,Monaco,43.7333,7.4167,38897,Capital,MCO
Mongolia,Ulaanbaatar,47.9077,106.8832,1520381,Capital,MNG
Montenegro,Podgorica,42.4411,19.2636,177177,Capital,MNE
Montserrat,Brades Estate,16.7918,-62.2106,472,Capital,MSR
Morocco,Rabat,34.0133,-6.8326,1846661,Capital,MAR
Mozambique,Maputo,-25.9653,32.5892,1101771,Capital,MOZ
Myanmar,Nay Pyi Taw,19.745,96.1297,500218,Capital,MMR
Namibia,Windhoek,-22.5594,17.0832,404280,Capital,NAM
Nauru,Nauru,-0.5308,166.9112,11312,Capital,NRU
Nepal,Kathmandu,27.7017,85.3206,1329732,Capital,NPL
Netherlands,Amsterdam,52.374,4.8897,1131690,Capital,NLD
New Caledonia,Nouméa,-22.2763,166.4572,197787,Capital,NCL
New Zealand,Wellington,-41.2866,174.7756,411346,Capital,NZL
Nicaragua,Managua,12.1328,-86.2504,1047923,Capital,NIC
Niger,Niamey,13.5137,2.1098,1213781,Capital,NER
Nigeria,Abuja,9.0574,7.4898,2918518,Capital,NGA
Niue,Alofi,-19.0585,-169.9213,727,Capital,NIU
Northern Mariana Islands,Saipan,15.2123,145.7545,50568,Capital,MNP
Norway,Oslo,59.9127,10.7461,1012225,Capital,NOR
Oman,Masqat (Muscat),23.6139,58.5922,1446563,Capital,OMN
Pakistan,Islamabad,33.7035,73.0594,1061412,Capital,PAK
Palau,Koror,7.3426,134.4789,11410,Capital,PLW
Panama,Ciudad de Panamá (Panama City),8.9958,-79.5196,1783490,Capital,PAN
Papua New Guinea,Port Moresby,-9.4431,147.1797,366862,Capital,PNG
Paraguay,Asunción,-25.3007,-57.6359,3222199,Capital,PRY
Peru,Lima,-12.0432,-77.0282,10390607,Capital,PER
Philippines,Manila,14.6042,120.9822,13482468,Capital,PHL
Poland,Warszawa (Warsaw),52.2298,21.0118,1767798,Capital,POL
Portugal,Lisboa (Lisbon),38.7169,-9.1399,2927316,Capital,PRT
Puerto Rico,San Juan,18.4663,-66.1057,2454337,Capital,PRI
Qatar,Ad-Dawhah (Doha),25.2747,51.5245,633401,Capital,QAT
Republic of Korea,Seoul,37.5683,126.9778,9963497,Capital,KOR
Republic of Moldova,Chişinău,47.0056,28.8575,509707,Capital,MDA
Réunion,Saint-Denis,-20.8823,55.4504,147209,Capital,REU
